perturb,severity,task_idx,task,rollout,success,steps,jerk
noise,5,0,alphabet_soup,6,0,400,0.03824
noise,5,0,alphabet_soup,7,0,400,0.037
noise,5,0,alphabet_soup,8,0,400,0.03908
noise,5,0,alphabet_soup,9,0,400,0.03728
noise,5,1,cream_cheese,0,0,400,0.0455
noise,5,1,cream_cheese,1,0,400,0.04555
noise,5,1,cream_cheese,2,0,400,0.04578
noise,5,1,cream_cheese,3,0,400,0.04504
noise,5,1,cream_cheese,4,0,400,0.04622
noise,5,1,cream_cheese,5,0,400,0.0449
noise,5,1,cream_cheese,6,0,400,0.04513
noise,5,1,cream_cheese,7,0,400,0.04649
noise,5,1,cream_cheese,8,0,400,0.04664
noise,5,1,cream_cheese,9,0,400,0.04514
noise,5,2,salad_dressing,0,0,400,0.03157
noise,5,2,salad_dressing,1,0,400,0.03119
noise,5,2,salad_dressing,2,0,400,0.03052
noise,5,2,salad_dressing,3,0,400,0.03145
noise,5,2,salad_dressing,4,0,400,0.03002
noise,5,2,salad_dressing,5,0,400,0.03021
noise,5,2,salad_dressing,6,0,400,0.03088
noise,5,2,salad_dressing,7,0,400,0.03045
noise,5,2,salad_dressing,8,0,400,0.03
noise,5,2,salad_dressing,9,0,400,0.03133
noise,5,3,bbq_sauce,0,0,400,0.03615
noise,5,3,bbq_sauce,1,0,400,0.03575
noise,5,3,bbq_sauce,2,0,400,0.03503
noise,5,3,bbq_sauce,3,0,400,0.03498
noise,5,3,bbq_sauce,4,0,400,0.03451
noise,5,3,bbq_sauce,5,0,400,0.03576
noise,5,3,bbq_sauce,6,0,400,0.03477
noise,5,3,bbq_sauce,7,0,400,0.0354
noise,5,3,bbq_sauce,8,0,400,0.03653
noise,5,3,bbq_sauce,9,0,400,0.03595
noise,5,4,ketchup,0,0,400,0.03878
noise,5,4,ketchup,1,0,400,0.04143
noise,5,4,ketchup,2,0,400,0.03838
noise,5,4,ketchup,3,0,400,0.0372
noise,5,4,ketchup,4,0,400,0.0355
noise,5,4,ketchup,5,0,400,0.04064
noise,5,4,ketchup,6,0,400,0.03595
noise,5,4,ketchup,7,0,400,0.03761
noise,5,4,ketchup,8,0,400,0.03768
noise,5,4,ketchup,9,0,400,0.04132
noise,5,5,tomato_sauce,0,0,400,0.03465
noise,5,5,tomato_sauce,1,0,400,0.03627
noise,5,5,tomato_sauce,2,0,400,0.03509
noise,5,5,tomato_sauce,3,0,400,0.03623
noise,5,5,tomato_sauce,4,0,400,0.03469
noise,5,5,tomato_sauce,5,0,400,0.03572
noise,5,5,tomato_sauce,6,0,400,0.0353
noise,5,5,tomato_sauce,7,0,400,0.03445
noise,5,5,tomato_sauce,8,0,400,0.03521
noise,5,5,tomato_sauce,9,0,400,0.03529
noise,5,6,butter,0,0,400,0.03732
noise,5,6,butter,1,0,400,0.03785
noise,5,6,butter,2,0,400,0.03734
noise,5,6,butter,3,0,400,0.03811
noise,5,6,butter,4,0,400,0.03712
noise,5,6,butter,5,0,400,0.03683
noise,5,6,butter,6,0,400,0.03755
noise,5,6,butter,7,0,400,0.0382
noise,5,6,butter,8,0,400,0.03756
